,Alamat,Email,Kategori,Kode Kategori,Nama Perusahaan,Status Badan Usaha,Telp1,Telp2,Telp3,Website
0,"JL HJ ROHANA, DSN MESJID, SEUNEUBOK, KEC. JOHAN PAHLAWAN, KAB. ACEH BARAT 23611",,Pertambangan dan Penggalian,,ACEH DAMAI MEUTUAH,PT,082366586710,,,
1,"JL FATAHILLAH I NO 10, GEUCEU INIEM, KEC. BANDA RAYA, KOTA BANDA ACEH 23239",,Pertambangan dan Penggalian,,ACEH PO,PT,085262406171,,,
2,"JL SENTOSA, DRIEN RAMPAK, KEC. JOHAN PAHLAWAN, KAB. ACEH BARAT 23617",,Pertambangan dan Penggalian,,AGRA BUDI JASA BERSAMA,PT,0655-7552397,,,
3,"RUMAH LUAR, KEC. TANOH ALAS, KAB. ACEH TENGGARA",,Pertambangan dan Penggalian,,ALAS PERMAI,CV,,,,
4,"DASAN RAJA, KEC. PENANGGALAN, KOTA SUBULUSSALAM",,Pertambangan dan Penggalian,,ANAK LAUT INDAH,PT,081370749465,,,
5,"DSN GUNONG PULO, SEUMAMBEK, KEC. SUKA MAKMUE, KAB. NAGAN RAYA 23671",,Pertambangan dan Penggalian,,BARA ENERGI LESTARI,PT,08116732845,,,
6,"DSN BARIH BATEE, LAMPANAH TUNONG, KEC. INDRAPURI, KAB. ACEH BESAR 23363",,Pertambangan dan Penggalian,,BUMI AYU,PT,085260219948,,,
7,"JL HABIB AMIN, KUTA TUHA, KEC. BLANG PIDIE, KAB. ACEH BARAT DAYA 23764",,Pertambangan dan Penggalian,,BUMI BABAHROT,PT,085376700012,,,
8,"JL TRANGUN KETUKAH, DSN SUNEL JAYA , KETUKAH, KEC. BLANG JERANGO, KAB. GAYO LUES 24653",,Pertambangan dan Penggalian,,GAYO LUES MENTALU,PT,,,,
9,"DSN KUALA BANTE, ALUE PUNTI, KEC. PASIE RAYA, KAB. ACEH JAYA 23653",,Pertambangan dan Penggalian,,GRESEL ALS,PT,,,,
10,"DSN SELANGA, DAYAH TUHA, KEC. SAKTI, KAB. PIDIE 24164",,Pertambangan dan Penggalian,,HANANAN,PT,,,,
11,"JL CUT MUTIA, UJONG BAROH, KEC. JOHAN PAHLAWAN, KAB. ACEH BARAT 23615",,Pertambangan dan Penggalian,,INDONESIA PASIFIC,PT,085277599414,,,
12,"JL PENDIDIKAN, LIPAT KAJANG, KEC. SIMPANG KANAN, KAB. ACEH SINGKIL 23784",,Pertambangan dan Penggalian,,JABAL NUR,CV,081370303837,,,
13,"DSN LINGKUNGAN MELATI, REUKIH DAYAH, KEC. INDRAPURI, KAB. ACEH BESAR 23363",,Pertambangan dan Penggalian,,KRUENG ACEH,CV,085260076557,,,
14,"KRUENG BARU-LEMBAH SABIL, KAYE ACEH, KEC. LEMBAH SABIL, KAB. ACEH BARAT DAYA 23762",,Pertambangan dan Penggalian,,MANGGENG MAKMUR LESTARI,PT,,,,
15,"JL PARI NO 37, BANDAR BARU, KEC. KUTA ALAM, KOTA BANDA ACEH 23126",,Pertambangan dan Penggalian,,MEDCO ENERGY,PT,081273727913,,,
16,"JL MEUREUBO-TAPAK TUAN PEUNAGA DAM, PEUNAGA CUT UJONG, KEC. MEUREUBO, KAB. ACEH BARAT 23681",,Pertambangan dan Penggalian,,MIFA BERSAUDARA,PT,0655-29976733,,,
17,"DSN BLANG MUNGKUR, UYEM BERIRING, KEC. TRIPE JAYA, KAB. GAYO LUES 24656",,Pertambangan dan Penggalian,,PELITA NUSA PERKASA,PT,,,,
18,"JL MEDAN - BANDA ACEH BLANG LANCANG, BLANG PULO, KEC. MUARA SATU, KOTA LHOKSEUMAWE 24353",,Pertambangan dan Penggalian,,PERTA ARUN GAS,PT,,,,
19,"JL MAKAM PAHLAWAN NO 2 MEULABOH, PADANG SEURAHET, KEC. JOHAN PAHLAWAN, KAB. ACEH BARAT 23611",,Pertambangan dan Penggalian,,PERTAMINA (PERSERO),PT,0655-7551220,0655-7551219,,www.pertamina.com
20,"POINT A, SUMBOK RAYEK, KEC. NIBONG, KAB. ACEH UTARA 24385",,Pertambangan dan Penggalian,,PERTAMINA HULU ENERGI NORTH SUMATERA BLOCK,PT,0645-3943444,,,www.phe.pertamina.com
21,"DSN GAMPONG , SEULIMEUM, KEC. SEULIMEUM, KAB. ACEH BESAR 23951",,Pertambangan dan Penggalian,,PRAPEN,PT,085260258838,,,
22,"DSN DAYA COT, TIRO, TIJUE, KEC. PIDIE, KAB. PIDIE 24174",,Pertambangan dan Penggalian,,PUTRA UKEE,PT,,,,
23,"JL ELAK NO 1, BLANG CRUM, KEC. MUARA DUA, KOTA LHOKSEUMAWE 24352",,Pertambangan dan Penggalian,,RATA JAYA,CV,08116707521,,,
24,"BATEE GLUNG V, BIREUN MEUNASAH CAPA, KEC. KOTA JUANG, KAB. BIREUEN 24251",,Pertambangan dan Penggalian,,TIMOR JAYA,CV,082363117733,,,
25,"DSN MELATI , KABU BAROH, KEC. SEUNAGAN TIMUR, KAB. NAGAN RAYA 23671",,Pertambangan dan Penggalian,,TUWIE BUNTA GROUP,PT,085277053700,,,
26,"JL KOL MUHAMMAD, DSN LOGON, KAMPUNG JAWA, KEC. BLANGKEJEREN, KAB. GAYO LUES 24653",,Pertambangan dan Penggalian,,WANYANG MINING GATO INDO,PT,0853717889294,,,
27,"LR PT WIRATACO, UTEUN PULO, KEC. SEUNAGAN TIMUR, KAB. NAGAN RAYA 23671",,Pertambangan dan Penggalian,,WIRATACO MITRA MULIA,PT,,,,
28,"JL PADANG SIDIMPUAN-SIBOLGA KM 3.5, AEK PINING, KEC. BATANG TORU, KAB. TAPANULI SELATAN",,Pertambangan dan Penggalian,,AGINCOURT RESOURCES,PT,0634-370330,,,
29,"JL ABRI RT. 04, PANYABUNGAN II, KEC. PANYABUNGAN, KAB. MANDAILING NATAL 22913",,Pertambangan dan Penggalian,,CIPTA BANGUN NUSANTARA,PT,,,,
30,"DSN MERDEKA, LALANG, KEC. MEDANG DERAS, KAB. BATU BARA 21258",,Pertambangan dan Penggalian,,DANIEL,CV,081224949131,,,
31,"JL MATSEH GLR KESAYANGAN, AEK TOLANG, KEC. PANDAN, KAB. TAPANULI TENGAH 22611",,Pertambangan dan Penggalian,,JAGO MAS NUSANTARA,CV,081360048081,,,
32,"JL PROF HJ M YAMIN NO 21 D RT. 03, PERINTIS, KEC. MEDAN TIMUR, KOTA MEDAN 20231",,Pertambangan dan Penggalian,,JALAHAN BATUBARA PRIMA,PT,061-4532478,,,
33,"DSN SALAM REJO, PERHIASAN, KEC. SELESAI, KAB. LANGKAT 20762",,Pertambangan dan Penggalian,,KARSA PRIMA PERMATA NUSA,PT,,,,
34,"DSN VII, MANGKAI LAMA, KEC. LIMAPULUH, KAB. BATU BARA 21255",,Pertambangan dan Penggalian,,MARCOPOLO,CV,082162332552,,,
35,"DSN TANJUNG MERAHE, TANJUNG MERAHE, KEC. SELESAI, KAB. LANGKAT",,Pertambangan dan Penggalian,,MERAHE INTI ALAM PERKASA,PT,08116329806 Ext: 06173,,,
36,"DSN I, KAMPUNG PAKU, KEC. GALANG, KAB. DELI SERDANG 20585",,Pertambangan dan Penggalian,,MITRA KURING,CV,,,,
37,"KOMP DENA ASRI RESIDENCE LK II, T E R J U N, KEC. MEDAN MARELAN, KOTA MEDAN 20256",,Pertambangan dan Penggalian,,MULTI MINERAL MINING,PT,081263960339,,,
38,"JL FLORES NO 2A, PANDAU HILIR, KEC. MEDAN PERJUANGAN, KOTA MEDAN 20232",,Pertambangan dan Penggalian,,PANCARAN BUKIT BATUBARA,PT,061-4571126,,,
